date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:12	304553/304553	---M-Z	200	added ('OK')	text/html	etag:%224a5a9-6074691ec22ac-gzip%22	https://themesdesign.in/jobcy-tailwind/layout/index.html	themesdesign.in/jobcy-tailwind/layout/index.html	(from )
17:57:13	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jan%202024%2014:57:12%20GMT	https://themesdesign.in/robots.txt		(from )
17:57:13	16958/16958	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22423e-6074691ea6d2c%22	https://themesdesign.in/jobcy-tailwind/layout/assets/images/favicon.ico	themesdesign.in/jobcy-tailwind/layout/assets/images/favicon.ico	(from https://themesdesign.in/jobcy-tailwind/layout/index.html)
17:57:14	7667/7667	---M-Z	200	added ('OK')	text/css	etag:%221df3-6074691eb096c-gzip%22	https://themesdesign.in/jobcy-tailwind/layout/assets/libs/choices.js/public/assets/styles/choices.min.css	themesdesign.in/jobcy-tailwind/layout/assets/libs/choices.js/public/assets/styles/choices.min.css	(from https://themesdesign.in/jobcy-tailwind/layout/index.html)
17:57:15	16469/16469	---M-Z	200	added ('OK')	text/css	etag:%224055-6074691eb47ec-gzip%22	https://themesdesign.in/jobcy-tailwind/layout/assets/libs/swiper/swiper-bundle.min.css	themesdesign.in/jobcy-tailwind/layout/assets/libs/swiper/swiper-bundle.min.css	(from https://themesdesign.in/jobcy-tailwind/layout/index.html)
17:57:17	742160/742160	---MCZ	200	added ('OK')	text/css	etag:%22b5310-6074691e905cc-gzip%22	https://themesdesign.in/jobcy-tailwind/layout/assets/css/icons.css	themesdesign.in/jobcy-tailwind/layout/assets/css/icons.css	(from https://themesdesign.in/jobcy-tailwind/layout/index.html)
17:57:20	250804/250804	---M-Z	200	added ('OK')	text/css	etag:%223d3b4-6074691e9156c-gzip%22	https://themesdesign.in/jobcy-tailwind/layout/assets/css/tailwind.css	themesdesign.in/jobcy-tailwind/layout/assets/css/tailwind.css	(from https://themesdesign.in/jobcy-tailwind/layout/index.html)
17:57:20	11347/11347	---M-Z	200	added ('OK')	text/html	etag:%222c53-6074691ec22ac-gzip%22	https://themesdesign.in/jobcy-tailwind/layout/sign-in.html	themesdesign.in/jobcy-tailwind/layout/sign-in.html	(from https://themesdesign.in/jobcy-tailwind/layout/index.html)
17:57:21	1242/1242	---M--	200	added ('OK')	image/jpeg	etag:%224da-6074691ea7ccc%22	https://themesdesign.in/jobcy-tailwind/layout/assets/images/flags/us.jpg	themesdesign.in/jobcy-tailwind/layout/assets/images/flags/us.jpg	(from https://themesdesign.in/jobcy-tailwind/layout/index.html)
17:57:22	1039/1039	---M--	200	added ('OK')	image/jpeg	etag:%2240f-6074691ea7ccc%22	https://themesdesign.in/jobcy-tailwind/layout/assets/images/flags/spain.jpg	themesdesign.in/jobcy-tailwind/layout/assets/images/flags/spain.jpg	(from https://themesdesign.in/jobcy-tailwind/layout/index.html)
17:57:23	663/663	---M--	200	added ('OK')	image/jpeg	etag:%22297-6074691ea6d2c%22	https://themesdesign.in/jobcy-tailwind/layout/assets/images/flags/germany.jpg	themesdesign.in/jobcy-tailwind/layout/assets/images/flags/germany.jpg	(from https://themesdesign.in/jobcy-tailwind/layout/index.html)
17:57:24	637/637	---M--	200	added ('OK')	image/jpeg	etag:%2227d-6074691ea6d2c%22	https://themesdesign.in/jobcy-tailwind/layout/assets/images/flags/italy.jpg	themesdesign.in/jobcy-tailwind/layout/assets/images/flags/italy.jpg	(from https://themesdesign.in/jobcy-tailwind/layout/index.html)
17:57:25	3826/3826	---M--	200	added ('OK')	image/png	etag:%22ef2-6074691eaabac%22	https://themesdesign.in/jobcy-tailwind/layout/assets/images/logo-dark.png	themesdesign.in/jobcy-tailwind/layout/assets/images/logo-dark.png	(from https://themesdesign.in/jobcy-tailwind/layout/index.html)
17:57:26	3762/3762	---M--	200	added ('OK')	image/png	etag:%22eb2-6074691eaabac%22	https://themesdesign.in/jobcy-tailwind/layout/assets/images/logo-light.png	themesdesign.in/jobcy-tailwind/layout/assets/images/logo-light.png	(from https://themesdesign.in/jobcy-tailwind/layout/index.html)
17:57:27	29912/29912	---M--	200	added ('OK')	image/jpeg	etag:%2274d8-6074691eabb4c%22	https://themesdesign.in/jobcy-tailwind/layout/assets/images/user/img-01.jpg	themesdesign.in/jobcy-tailwind/layout/assets/images/user/img-01.jpg	(from https://themesdesign.in/jobcy-tailwind/layout/index.html)
17:57:28	4109/4109	---M--	200	added ('OK')	image/png	etag:%22100d-6074691ea6d2c%22	https://themesdesign.in/jobcy-tailwind/layout/assets/images/featured-job/img-04.png	themesdesign.in/jobcy-tailwind/layout/assets/images/featured-job/img-04.png	(from https://themesdesign.in/jobcy-tailwind/layout/index.html)
17:57:29	18268/18268	---M--	200	added ('OK')	image/jpeg	etag:%22475c-6074691eabb4c%22	https://themesdesign.in/jobcy-tailwind/layout/assets/images/user/img-02.jpg	themesdesign.in/jobcy-tailwind/layout/assets/images/user/img-02.jpg	(from https://themesdesign.in/jobcy-tailwind/layout/index.html)
17:57:30	6966/6966	---M--	200	added ('OK')	image/png	etag:%221b36-6074691ea6d2c%22	https://themesdesign.in/jobcy-tailwind/layout/assets/images/featured-job/img-01.png	themesdesign.in/jobcy-tailwind/layout/assets/images/featured-job/img-01.png	(from https://themesdesign.in/jobcy-tailwind/layout/index.html)
